Time(s),Thrust(N)
35.67,71867.80673
35.7,71942.40252
35.73,72017.01455
35.76,72091.65714
35.79,72166.33191
35.82,72240.98335
35.85,72315.64777
35.88,72390.34471
35.91,72465.02955
35.94,72539.71562
35.97,72614.43365
36.0,72689.16564
36.03,72763.90622
36.06,72838.67859
36.09,72913.49287
36.12,72988.36921
36.15,73063.27686
36.18,73138.19878
36.21,73213.02549
36.24,73287.88337
36.27,73362.77203
36.3,73437.63327
36.33,73512.5231
36.36,73587.44403
36.39,73662.37592
36.42,73737.33389
36.45,73812.32288
36.48,73887.31684
36.51,73962.32891
36.54,74037.37204
36.57,74112.39454
36.6,74187.40567
36.63,74262.44729
36.66,74337.5138
36.69,74412.60275
36.72,74487.72243
36.75,74562.87264
36.78,74638.05482
36.81,74713.26757
36.84,74788.49309
36.87,74863.66226
36.9,74938.8615
36.93,75014.09063
36.96,75089.35964
36.99,75164.65834
37.02,75239.98681
37.05,75315.36624
37.08,75390.77698
37.11,75466.21762
37.14,75541.6174
37.17,75617.02942
37.2,75692.47111
37.23,75767.9238
37.26,75843.39677
37.29,75918.89967
37.32,75994.41758
37.35,76069.95423
37.38,76145.52062
37.41,76221.13198
37.44,76296.7888
37.47,76372.47559
37.5,76448.14904
37.53,76523.78411
37.56,76599.4484
37.59,76675.13155
37.62,76750.81884
37.65,76826.53563
37.68,76902.27687
37.71,76978.03179
37.74,77053.8154
37.77,77129.62321
37.8,77205.42173
37.83,77281.24871
37.86,77357.10327
37.89,77432.94065
37.92,77508.80561
37.95,77584.69949
37.98,77660.60383
38.01,77736.5349
38.04,77812.4944
38.07,77888.41
38.1,77964.34095
38.13,78040.30046
38.16,78116.23334
38.19,78192.17857
38.22,78268.15187
38.25,78344.14647
38.28,78420.16646
38.31,78496.21464
38.34,78572.28349
38.37,78648.3767
38.4,78724.49761
38.43,78800.58664
38.46,78876.659
38.49,78952.75828
38.52,79028.8811
38.55,79105.02782
38.58,79181.20132
38.61,79257.35883
38.64,79333.49019
38.67,79409.64802
38.7,79485.80906
38.73,79561.95871
38.76,79638.1354
38.79,79714.30721
38.82,79790.4436
