Time(s),Thrust(N)
37.92,26335.46994
37.95,26305.95235
37.98,26286.01284
38.01,26266.61516
38.04,26247.69959
38.07,26228.79163
38.1,26209.89132
38.13,26162.32732
38.16,26169.73138
38.19,26176.6697
38.22,26131.24465
38.25,26111.38751
38.28,26092.26225
38.31,26073.41693
38.34,26054.57919
38.37,26035.74905
38.4,26003.82699
38.43,26011.05424
38.46,25977.00854
38.49,25957.22133
38.52,25937.4425
38.55,25918.57087
38.58,25899.79791
38.61,25881.03252
38.64,25837.42256
38.67,25845.44623
38.7,25852.52288
38.73,25803.58773
38.76,25783.87611
38.79,25764.24586
38.82,25745.54458
38.85,25726.85082
38.88,25708.1646
38.91,25679.35026
38.94,25687.03812
38.97,25694.19341
39.0,25630.87928
39.03,25611.24917
39.06,25591.84742
39.09,25573.21892
39.12,25554.59792
39.15,25535.98442
39.18,25521.37509
39.21,25528.81194
39.24,25478.41577
39.27,25458.84747
39.3,25439.28747
39.33,25420.08685
39.36,25401.52674
39.39,25382.97411
39.42,25364.42894
39.45,25363.31919
39.48,25370.69627
39.51,25306.93696
39.54,25287.43713
39.57,25267.94557
39.6,25248.92595
39.63,25230.42751
39.66,25211.93653
39.69,25196.97432
39.72,25205.29833
39.75,25212.66038
39.78,25136.05223
39.81,25116.62376
39.84,25097.20354
39.87,25078.3567
39.9,25128.40814
39.93,25109.94755
39.96,25107.4806
39.99,25115.77502
40.02,25123.17906
40.05,25102.45205
40.08,25083.00939
40.11,25063.57502
40.14,25044.79872
40.17,25026.35122
40.2,25007.91117
40.23,24949.49356
40.26,24957.76076
40.29,24951.46605
40.32,24932.08355
40.35,24912.70931
40.38,24893.34331
40.41,24874.71557
40.44,24856.33878
40.47,24783.04667
40.5,24791.593
40.53,24799.85524
40.56,24781.67874
40.59,24762.37126
40.62,24743.07203
40.65,24723.78099
40.68,24705.28565
40.71,24686.97785
40.74,24625.20384
40.77,24633.81196
40.8,24641.9023
40.83,24612.53434
40.86,24593.29666
40.89,24574.06718
40.92,24554.84588
